Clade Name	Clade Definition	Section Letter	Components	Show	Comments
CoreEudicots Caryophyllales	AAXJ+AKTA+AZBL+BDIW+BERS+BJKT+BKQU+BLWH+BWRK+BYNZ+BZMI+CBJR+CGGO+CPKP+CPLT+CTYH+CUTE+CUVY+CVDF+CZJT+DBCE+DEMH+DVXD+DZRA+EDIT+EGOS+EMIG+ENCD+EPVF+EYRD+EZGR+FVXD+FYSJ+FZQN+GBCQ+GCYL+GDYP+GIWN+GJNX+GQAV+HDSY+HMFE+HSXO+HTDC+HUGU+HURS+HZTS+IWIS+JAFJ+JBGU+JGAB+JLOV+KDCH+KJAA+KTQI+LBZM+LDEL+LFQH+LKKX+LLQV+LUNL+MBWM+MEAH+MRKX+MUCT+NXTS+OFWX+OHKC+OLES+ONLQ+OPZX+OYST+PDQH+PDXY+QAIR+QASA+QMUN+RNBN+RUUB+RXEN+SCAO+SFKQ+SHEZ+SKNL+SMMC+TJES+TMMR+TRLB+UNSW+UQCB+VJPU+VKOE+VPCP+VUIT+WGET+WGUG+WHHY+WMLW+WOBD+WPYJ+WQUF+XSSD+YNFJ+ZBPY+ZBTA+ZJDK+OMYK	None		0	
osses Grimmiales	ABCD+BPSG+RDOO	None		0	
CoreEudicots/Asterids Boraginales	ABEH+CSWE+DIHD+DKFZ+EIGQ+EMAL+HANM+IDGE+IPPG+IWJG+JWEY+MDJK+MZOB+NIGS+OEKO+OUER+RGMN+SMUR+VJSJ+XKVX+XVRU+YQIJ	None		0	
Lycophytes Selaginellales	ABIJ+JKAA+KJYC+KUXM+LGDQ+ZFGK+ZYCD+ZZOL	None		0	
agnoliids Laurales	ABSS+BCGB+BSVG+FALI+KAYP+KRJP+MAQO+VYLQ+WAIL+WIGA+WPHN	None		0	
CoreEudicots/Rosids Rosales	ACFP+AQGE+BJSW+BLVL+CQMG+DGNP+DHAW+EAVM+EDHN+EILE+IANR+KYAD+MCNW+NCVK+PDIE+PMRP+QIEH+QNOC+RBYC+SFZX+SQCF+SXCE+TJQY+VCIN+WKCY+WVEF+XFFT+XVJB+ZHEE+ZPKK	None		0	
Chlorophyceae Chlamydomonadales	ACRY+AGIO+AJUW+AOUJ+BCYF+DZPJ+ENAU+FXHG+GDUD+GFUR+GUBD+IHOI+IRYH+ISPU+JKKI+JRGZ+JWGT+KFEB+KUJU+LBRP+LNIL+MNPL+MULF+MXDS+NDPQ+NTLE+ODXI+OFUE+OVHR+POIR+PRIQ+QRTH+QWRA+RHVC+RNAT+RUIF+RYJX+SRGS+SYJM+TSBQ+UKUC+UTRE+VALZ+VIAU+WDWX+WRSL+XDLL+XOZZ+ZDIZ+ZFXU+ZIVZ+ZLBP+ZLQE+USIX	None		0	
Other Pinales	ACWS+AIGO+AUDE+BBDD+BTTS+BUWV+CDFR+CGDN+DSXO+EFMS+EGLZ+ESYX+ETCJ+FHST+FMWZ+FRPM+GJTI+GKCZ+GMHZ+HBGV+HILW+HOUF+HQOM+IAJW+IFLI+IZGN+JDQB+JRNA+JZVE+KLGF+MHGD+MIXZ+NKIN+NRXL+NVGZ+OUOI+OVIJ+OWFC+OXGJ+PLYX+QCGM+QFAE+QHBI+QNGJ+QSNJ+RMMV+ROWR+RSCE+SCEB+UEVI+UUJS+VFYZ+VGSX+WWSS+WYAJ+XIRK+XLGK+XMGP+XQSG+XTZO+YFZK+YLPM+YYPE+ZQVF+ZQWM+ZYAX	None		0	
CoreEudicots/Asterids Ericales	ADHK+AVJK+AXBO+BEFC+BNTL+DAAD+DTOA+FNEN+HUSX+JEXA+JPDJ+KVFU+LRTN+NGRR+ODDO+OJCW+OXYP+PIYM+PPPZ+PTFA+QAUE+SERM+UFHF+VKJD+WRPP+WVMY+WXVX+YSRZ	None		0	
CoreEudicots/Rosids Malpighiales	AEPI+AXPJ+BHYC+BNDE+BVOF+CKDK+COAQ+EZZT+FWCQ+GLVK+HBUQ+HNCF+IEPQ+INQX+KCPT+KKDQ+LFII+LFOG+LPGY+LSLA+MJAV+MYVH+NFXV+NJLF+OGSY+OODC+OSIP+OZJZ+PAZJ+POZS+PXYR+RHAU+RPPC+RVGH+RZTJ+SIZE+TDTF+TVCU+TXMP+VNMY+VPDX+VVPY+VXOD+XNLP+XPBC+XWMS+YGAT+ZBVT+ZIWB+ZTLR	None		0	
Liverworts Jungermanniales	AEXY+IRBN+LGOW+OFTV+RTMU+WZYK+YBQN	None		0	
onocots Liliales	AFLV+GDKK+MWYQ+NHIX+OOSO+OVRB+QNPH+SFCT+THEW	None		0	
CoreEudicots/Asterids Asterales	AFQQ+AQZD+AUIP+BIDT+BMSE+CFRN+DDRL+DESP+DOVJ+DSWR+DUNJ+DUQG+EXHX+EYKJ+FUPX+FXGI+GFVW+GIOY+GUMF+HRVY+HUQC+HXCD+HXDV+IHPC+IPUI+IXVJ+IZLO+JEPE+JNKW+JYMN+JZHZ+KFZY+KGJF+KJBH+LMXP+LYPZ+MHYG+MMJI+NUSE+NVSO+OAGK+QBGG+QNIK+QXWF+RFSD+RLCS+RZSW+TEZA+TNVE+TPEM+UBLN+UQAZ+UYED+WSYE+XRCX+YRBQ+ZCUA+ZGDS+ZNZC	None		0	
CoreEudicots/Asterids Solanales	AHRN+AIOU+ALUC+BOLZ+CPOC+DLAI+DLJZ+EMBR+ERWT+GHLP+IZNU+JNVS+LQJY+LWCK+MKZR+NAUM+NHAG+NMDZ+OQBM+OSMU+QSLH+SDXI+UGJI+VXKB+XQRV	None		0	
CoreEudicots/Asterids Apiales	AJFN+CWYJ+EDBB+EITK+JBYE+MVSE+NTEO+OINM+QIKZ+SALZ+SBZH+SUVN+TQKZ+WEQK	None		0	
CoreEudicots/Rosids Fabales	AKRH+ATQZ+CMFF+FPLR+GEHT+HJMP+JETM+JTQQ+KEGA+KNMB+KZED+LQUX+LXGM+MGBF+MYMP+NXOH+OAQS+OHAE+OQHZ+PEZP+PFSA+PJSX+QZXQ+RIDD+RKFX+RKLL+RMWJ+SLYR+SUAK+TJMB+TTRG+TVSH+VHZV+VLNB+XOOE+ZCDJ+ZSSR+ZUQW	None		0	
Hornworts Dendrocerotales	AKXB+UCRN	None		0	
EusporangiateMonilophytes Psilotales	ALVQ+QVMR	None		0	
Ulvophyceae Oltmannsiellopsidales	ALZF+NSTT+PZBH+QJYX	None		0	
Hornworts Anthocerotales	ANON+BSNI+DXOU+FAJB+FANS+IQJU+RXRQ+TCBC+TWUW+WCZB+WEEQ+ZFRE	None		0	
Hornworts	ANON+BSNI+DXOU+FAJB+FANS+IQJU+RXRQ+TCBC+TWUW+WCZB+WEEQ+ZFRE+AKXB+UCRN	None		0	
Chromista	APTP+ASZK+BAKF+FIDQ+FIKG+FOMH+FSQE+HFIK+IAYV+IRZA+JCXF+JGGD+LDRY+LIRF+MJMQ+OGZM+QDTV+QLMZ+RAPY+ROZZ+RWXW+SRSQ+ULXR+VRGZ+VYER+YRMA	None		0	
Chromista	APTP+ASZK+BAKF+FIDQ+FIKG+FOMH+FSQE+HFIK+IAYV+IRZA+JCXF+JGGD+LDRY+LIRF+MJMQ+OGZM+QDTV+QLMZ+RAPY+ROZZ+RWXW+SRSQ+ULXR+VRGZ+VYER+YRMA+BOGT+DBYD+VKVG+BAJW+LLEN+LXRN+NMAK+RFAD+VJED+EBWI	None		0	
 Pinales	AQFM+AREG+AWQB+DZQM+GAMH+GGEA+IIOL+IOVS+JUWL+MFTM+NPRL+VSRH+WVWN+JBND+ACWS+AIGO+AUDE+BBDD+BTTS+BUWV+CDFR+CGDN+DSXO+EFMS+EGLZ+ESYX+ETCJ+FHST+FMWZ+FRPM+GJTI+GKCZ+GMHZ+HBGV+HILW+HOUF+HQOM+IAJW+IFLI+IZGN+JDQB+JRNA+JZVE+KLGF+MHGD+MIXZ+NKIN+NRXL+NVGZ+OUOI+OVIJ+OWFC+OXGJ+PLYX+QCGM+QFAE+QHBI+QNGJ+QSNJ+RMMV+ROWR+RSCE+SCEB+UEVI+UUJS+VFYZ+VGSX+WWSS+WYAJ+XIRK+XLGK+XMGP+XQSG+XTZO+YFZK+YLPM+YYPE+ZQVF+ZQWM+ZYAX	None		0	
CoreEudicots/Asterids Aquifoliales	ASMV+DFYF+QACK+SXML	None		0	
CoreEudicots/Rosids Malvales	ATFX+AWJM+KPTE+OLXF+PKMO+PUDI+QJXB+WMUK+WYIG+ZSAB	None		0	
osses Buxbaumiales	AWOI+HRWG	None		0	
CoreEudicots/Rosids Cucurbitales	AXAF+NJJO+NNGU+OCTM	None		0	
CoreEudicots/Rosids Myrtales	AYMT+FGDU+NEBM+AJBK+AJJE+AQXA+ARYD+AXNH+BZDF+CHTD+CJGZ+DIBI+DSVQ+DWAP+DZLN+EBPG+ECSL+EQYT+EWHG+EXGW+FDBS+FEDW+FXJC+GBGW+GVCB+GZUR+HKMQ+HOOU+HPNZ+ICUS+IDAU+IIFB+IMZV+JKNQ+JMJV+JROW+JYOB+KAOV+KBRW+KFAL+LACT+LHDP+LHSH+MJHP+MLUJ+NQWS+ONZG+PMTB+QBRF+QEBC+REZJ+RJNQ+RLZU+ROLB+SEMK+SJAN+SWGX+TAHF+TGOP+TLCA+UASK+UJGI+VUGF+WBXY+WPUV+WWQZ+XSNO+XZAQ+XZPP+YHLF+YIVZ+YMUO+YNUE+ZINQ	None		0	
prasinophytes  Chlorophyta incertae sedis	AYPS	None		0	
Chloro	AYPS+HHXJ+DUMA+FMVB+HVNO+BAZF+IJMT+ISGT+JMUI+RAWF+VFIV+ACRY+AGIO+AJUW+AOUJ+BCYF+DZPJ+ENAU+FXHG+GDUD+GFUR+GUBD+IHOI+IRYH+ISPU+JKKI+JRGZ+JWGT+KFEB+KUJU+LBRP+LNIL+MNPL+MULF+MXDS+NDPQ+NTLE+ODXI+OFUE+OVHR+POIR+PRIQ+QRTH+QWRA+RHVC+RNAT+RUIF+RYJX+SRGS+SYJM+TSBQ+UKUC+UTRE+VALZ+VIAU+WDWX+WRSL+XDLL+XOZZ+ZDIZ+ZFXU+ZIVZ+ZLBP+ZLQE+USIX+DVYE+SDPC+BZSH+FOYQ+JRDV+MWAN+NLOM+OTQG+PZIF+QGQH+VJDZ+XKWQ+XTON+YOHC+Volca_v2.0+Chlre_v5.5+Micpu_v3.0+Ostlu_v2.0+Chlva_v1.0+XOAL+MCPK+QXSZ+BTFM+ISIM+MMKU+RRSV+PUAN+TGNL+JMTE+MXEZ+TNAW+XIVI+EGNB+EEJO+PFUD+AKCR+BILC+JQFK+MFYC+MNCB+GXBM+ZNUM+DXNY+EATP+NKXU+WXRI+ZDOF+ETGN+QYXY+WCLV+GYBH+JTIG+VHIJ+VBLH+KADG+ALZF+NSTT+PZBH+QJYX+NATT+YDCQ+LETF+AJAU+CBNG+JIWJ+GJIY+CQQP+LSHT+OAEZ+OQON+KSFK+NQYP	None		0	
