taxa	fullname	classification
URDJ	URDJ;Basalmost angiosperms;Amborella trichopoda	Basalmost angiosperms
WTKZ	WTKZ;Basalmost angiosperms;Nuphar advena	Basalmost angiosperms
PZRT	PZRT;Basalmost angiosperms;Nymphaea sp.	Basalmost angiosperms
ROAP	ROAP;Basalmost angiosperms;Illicium parviflorum	Basalmost angiosperms
VZCI	VZCI;Basalmost angiosperms;Illicium floridanum	Basalmost angiosperms
NWMY	NWMY;Basalmost angiosperms;Kadsura heteroclita	Basalmost angiosperms
FZJL	FZJL;Basalmost angiosperms;Austrobaileya scandens	Basalmost angiosperms
NPND	NPND;Basalmost angiosperms;Ceratophyllum demersum	Basalmost angiosperms
DDEV	DDEV;Magnoliids;Canella winterana	Magnoliids
IFCJ	IFCJ;Magnoliids;Canella winterana	Magnoliids
SJEV	SJEV;Magnoliids;Canella winterana	Magnoliids
WKSU	WKSU;Magnoliids;Drimys winteri	Magnoliids
WAIL	WAIL;Magnoliids;Laurelia sempervirens	Magnoliids
FALI	FALI;Magnoliids;Calycanthus floridus	Magnoliids
WPHN	WPHN;Magnoliids;Idiospermum australiense	Magnoliids
MAQO	MAQO;Magnoliids;Gomortega keule	Magnoliids
BSVG	BSVG;Magnoliids;Gyrocarpus americanus	Magnoliids
BCGB	BCGB;Magnoliids;Cinnamomum camphora	Magnoliids
KAYP	KAYP;Magnoliids;Lindera benzoin	Magnoliids
ABSS	ABSS;Magnoliids;Sassafras albidum	Magnoliids
VYLQ	VYLQ;Magnoliids;Cassytha filiformis	Magnoliids
WIGA	WIGA;Magnoliids;Persea borbonia	Magnoliids
KRJP	KRJP;Magnoliids;Peumus boldus	Magnoliids
YZRI	YZRI;Magnoliids;Annona muricata	Magnoliids
PSJT	PSJT;Magnoliids;Uvaria microcarpa	Magnoliids
DHPO	DHPO;Magnoliids;Eupomatia bennettii	Magnoliids
XQWC	XQWC;Magnoliids;Michelia maudiae	Magnoliids
WBOD	WBOD;Magnoliids;Magnolia grandiflora	Magnoliids
OBPL	OBPL;Magnoliids;Myristica fragrans	Magnoliids
PAWA	PAWA;Magnoliids;Aristolochia elegans	Magnoliids
QDVW	QDVW;Magnoliids;Saruma henryi	Magnoliids
MUNP	MUNP;Magnoliids;Piper auritum	Magnoliids
XSZI	XSZI;Magnoliids;Peperomia fraseri	Magnoliids
OPDF	OPDF;Magnoliids;Saururus cernuus	Magnoliids
CSSK	CSSK;Magnoliids;Houttuynia cordata	Magnoliids
WPYJ	WPYJ;Magnoliids;Frankenia laevis	Magnoliids
OSHQ	OSHQ;Chloranthales;Sarcandra glabra	Chloranthales
WZFE	WZFE;Chloranthales;Ascarina rubricaulis	Chloranthales
IWMW	IWMW;Basal Eudicots;Buxus sempervirens	Basal Eudicots
AALA	AALA;Basal Eudicots;Meliosma cuneifolia	Basal Eudicots
SWOH	SWOH;Basal Eudicots;Trochodendron aralioides	Basal Eudicots
FAKD	FAKD;Basal Eudicots;Nelumbo sp.	Basal Eudicots
GRRW	GRRW;Basal Eudicots;Grevillea robusta	Basal Eudicots
OBOJ	OBOJ;Basal Eudicots;Hakea prostrata	Basal Eudicots
REOF	REOF;Basal Eudicots;Hakea prostrata	Basal Eudicots
RQUG	RQUG;Basal Eudicots;Hakea prostrata	Basal Eudicots
SIIK	SIIK;Basal Eudicots;Hakea drupacea	Basal Eudicots
VQFW	VQFW;Basal Eudicots;Platanus occidentalis	Basal Eudicots
WFBF	WFBF;Basal Eudicots;Podophyllum peltatum	Basal Eudicots
YHFG	YHFG;Basal Eudicots;Nandina domestica	Basal Eudicots
QTJY	QTJY;Basal Eudicots;Euptelea pleiosperma	Basal Eudicots
CCID	CCID;Basal Eudicots;Akebia trifoliata	Basal Eudicots
LVNW	LVNW;Basal Eudicots;Cocculus laurifolius	Basal Eudicots
NMGG	NMGG;Basal Eudicots;Hypecoum procumbens	Basal Eudicots
AUGV	AUGV;Basal Eudicots;Capnoides sempervirens	Basal Eudicots
UDHA	UDHA;Basal Eudicots;Ceratocapnos vesicaria	Basal Eudicots
XHKT	XHKT;Basal Eudicots;Sanguinaria canadensis	Basal Eudicots
YDEH	YDEH;Basal Eudicots;Argemone mexicana	Basal Eudicots
GOQJ	GOQJ;Basal Eudicots;Argemone mexicana	Basal Eudicots
SMZF	SMZF;Basal Eudicots;Argemone mexicana	Basal Eudicots
CCHG	CCHG;Basal Eudicots;Argemone mexicana	Basal Eudicots
BFMT	BFMT;Basal Eudicots;Argemone mexicana	Basal Eudicots
IRAF	IRAF;Basal Eudicots;Argemone mexicana	Basal Eudicots
UNPT	UNPT;Basal Eudicots;Eschscholzia californica	Basal Eudicots
NJKC	NJKC;Basal Eudicots;Eschscholzia californica	Basal Eudicots
RKGT	RKGT;Basal Eudicots;Eschscholzia californica	Basal Eudicots
TUHA	TUHA;Basal Eudicots;Eschscholzia californica	Basal Eudicots
ERXG	ERXG;Basal Eudicots;Eschscholzia californica	Basal Eudicots
EVOD	EVOD;Basal Eudicots;Eschscholzia californica	Basal Eudicots
RRID	RRID;Basal Eudicots;Papaver bracteatum	Basal Eudicots
TMWO	TMWO;Basal Eudicots;Papaver bracteatum	Basal Eudicots
ZSNV	ZSNV;Basal Eudicots;Papaver bracteatum	Basal Eudicots
SSDU	SSDU;Basal Eudicots;Papaver bracteatum	Basal Eudicots
ACYX	ACYX;Basal Eudicots;Papaver rhoeas	Basal Eudicots
GMAM	GMAM;Basal Eudicots;Papaver rhoeas	Basal Eudicots
QZBA	QZBA;Basal Eudicots;Papaver rhoeas	Basal Eudicots
IORZ	IORZ;Basal Eudicots;Papaver rhoeas	Basal Eudicots
MVTX	MVTX;Basal Eudicots;Papaver rhoeas	Basal Eudicots
BEKN	BEKN;Basal Eudicots;Papaver rhoeas	Basal Eudicots
FNXH	FNXH;Basal Eudicots;Papaver setigerum	Basal Eudicots
MLPX	MLPX;Basal Eudicots;Papaver setigerum	Basal Eudicots
JSVC	JSVC;Basal Eudicots;Papaver setigerum	Basal Eudicots
STDO	STDO;Basal Eudicots;Papaver setigerum	Basal Eudicots
EPRK	EPRK;Basal Eudicots;Papaver setigerum	Basal Eudicots
QCOU	QCOU;Basal Eudicots;Papaver setigerum	Basal Eudicots
BMRX	BMRX;Basal Eudicots;Papaver somniferum	Basal Eudicots
SUFP	SUFP;Basal Eudicots;Papaver somniferum	Basal Eudicots
MIKW	MIKW;Basal Eudicots;Papaver somniferum	Basal Eudicots
FPYZ	FPYZ;Basal Eudicots;Papaver somniferum	Basal Eudicots
KKCW	KKCW;Basal Eudicots;Papaver somniferum	Basal Eudicots
RQNK	RQNK;Basal Eudicots;Papaver somniferum	Basal Eudicots
ZGQD	ZGQD;Basal Eudicots;Corydalis linstowiana	Basal Eudicots
XMVD	XMVD;Basal Eudicots;Chelidonium majus	Basal Eudicots
ZUHO	ZUHO;Basal Eudicots;Anemone hupehensis	Basal Eudicots
CYVA	CYVA;Basal Eudicots;Cimicifuga racemosa	Basal Eudicots
VGHH	VGHH;Basal Eudicots;Hydrastis canadensis	Basal Eudicots
GBVZ	GBVZ;Basal Eudicots;Thalictrum thalictroides	Basal Eudicots
UPOG	UPOG;Basal Eudicots;Anemone pulsatilla	Basal Eudicots
XMQO	XMQO;Basal Eudicots;Gunnera manicata	Basal Eudicots
QUTB	QUTB;Basal Eudicots;Aextoxicon punctatum	Basal Eudicots
HAEU	HAEU;Basal Eudicots;Berberidopsis beckleri	Basal Eudicots
EHNF	EHNF;Basal Eudicots;Dillenia indica	Basal Eudicots
OKEF	OKEF;Basal Eudicots;Hibbertia grossulariifolia	Basal Eudicots
BJKT	BJKT;Core Eudicots;Delosperma echinatum	Core Eudicots
GJNX	GJNX;Core Eudicots;Cypselea humifusa	Core Eudicots
HZTS	HZTS;Core Eudicots;Sesuvium portulacastrum	Core Eudicots
BERS	BERS;Core Eudicots;Zaleya pentandra	Core Eudicots
ZJDK	ZJDK;Core Eudicots;Sesuvium verrucosum	Core Eudicots
OPZX	OPZX;Core Eudicots;Sesuvium verrucosum	Core Eudicots
EDIT	EDIT;Core Eudicots;Sesuvium verrucosum	Core Eudicots
QNIK	QNIK;Core Eudicots;Trianthema portulacastrum	Core Eudicots
TNVE	TNVE;Core Eudicots;Trianthema portulacastrum	Core Eudicots
OMYK	OMYK;Core Eudicots;Trianthema portulacastrum	Core Eudicots
EMIG	EMIG;Core Eudicots;Aerva lanata	Core Eudicots
VKOE	VKOE;Core Eudicots;Aerva lanata	Core Eudicots
PDQH	PDQH;Core Eudicots;Aerva lanata	Core Eudicots
GBCQ	GBCQ;Core Eudicots;Aerva persica	Core Eudicots
MEAH	MEAH;Core Eudicots;Aerva persica	Core Eudicots
HDSY	HDSY;Core Eudicots;Aerva persica	Core Eudicots
JBGU	JBGU;Core Eudicots;Amaranthus palmeri	Core Eudicots
XSSD	XSSD;Core Eudicots;Amaranthus cruentus	Core Eudicots
WMLW	WMLW;Core Eudicots;Amaranthus retroflexus	Core Eudicots
CUTE	CUTE;Core Eudicots;Blutaparon vermiculare	Core Eudicots
WGET	WGET;Core Eudicots;Kochia scoparia	Core Eudicots
BDIW	BDIW;Core Eudicots;Atriplex hortensis	Core Eudicots
AKTA	AKTA;Core Eudicots;Atriplex hortensis	Core Eudicots
ONLQ	ONLQ;Core Eudicots;Atriplex hortensis	Core Eudicots
MUCT	MUCT;Core Eudicots;Atriplex prostrata	Core Eudicots
EPVF	EPVF;Core Eudicots;Atriplex prostrata	Core Eudicots
AAXJ	AAXJ;Core Eudicots;Atriplex prostrata	Core Eudicots
LBZM	LBZM;Core Eudicots;Atriplex rosea	Core Eudicots
PDXY	PDXY;Core Eudicots;Atriplex rosea	Core Eudicots
CBJR	CBJR;Core Eudicots;Atriplex rosea	Core Eudicots
SMMC	SMMC;Core Eudicots;Chenopodium quinoa	Core Eudicots
ENCD	ENCD;Core Eudicots;Alternanthera brasiliana	Core Eudicots
KTQI	KTQI;Core Eudicots;Alternanthera brasiliana	Core Eudicots
ZBPY	ZBPY;Core Eudicots;Alternanthera brasiliana	Core Eudicots
VUIT	VUIT;Core Eudicots;Alternanthera caracasana	Core Eudicots
WGUG	WGUG;Core Eudicots;Alternanthera caracasana	Core Eudicots
OHKC	OHKC;Core Eudicots;Alternanthera caracasana	Core Eudicots
LUNL	LUNL;Core Eudicots;Alternanthera sessilis	Core Eudicots
OYST	OYST;Core Eudicots;Alternanthera sessilis	Core Eudicots
BWRK	BWRK;Core Eudicots;Alternanthera sessilis	Core Eudicots
DEMH	DEMH;Core Eudicots;Alternanthera tenella	Core Eudicots
DBCE	DBCE;Core Eudicots;Alternanthera tenella	Core Eudicots
EYRD	EYRD;Core Eudicots;Alternanthera tenella	Core Eudicots
FVXD	FVXD;Core Eudicots;Beta maritima	Core Eudicots
HSXO	HSXO;Core Eudicots;Ancistrocladus tectorius	Core Eudicots
CTYH	CTYH;Core Eudicots;Basella alba	Core Eudicots
JLOV	JLOV;Core Eudicots;Pereskia aculeata	Core Eudicots
CPKP	CPKP;Core Eudicots;Lophophora williamsii	Core Eudicots
QAIR	QAIR;Core Eudicots;Opuntia sp.	Core Eudicots
SKNL	SKNL;Core Eudicots;Saponaria officinalis	Core Eudicots
RXEN	RXEN;Core Eudicots;Polycarpaea repens	Core Eudicots
TJES	TJES;Core Eudicots;Spergularia media	Core Eudicots
SHEZ	SHEZ;Core Eudicots;Dianthus caryophyllus	Core Eudicots
OLES	OLES;Core Eudicots;Schiedea membranacea	Core Eudicots
FZQN	FZQN;Core Eudicots;Silene latifolia	Core Eudicots
RNBN	RNBN;Core Eudicots;Mollugo cerviana	Core Eudicots
UNSW	UNSW;Core Eudicots;Mollugo nudicaulis	Core Eudicots
CUVY	CUVY;Core Eudicots;Mollugo nudicaulis	Core Eudicots
SCAO	SCAO;Core Eudicots;Mollugo nudicaulis	Core Eudicots
BZMI	BZMI;Core Eudicots;Mollugo pentaphylla	Core Eudicots
HURS	HURS;Core Eudicots;Mollugo pentaphylla	Core Eudicots
KJAA	KJAA;Core Eudicots;Mollugo pentaphylla	Core Eudicots
OFWX	OFWX;Core Eudicots;Mollugo verticillata	Core Eudicots
QASA	QASA;Core Eudicots;Mollugo verticillata	Core Eudicots
NXTS	NXTS;Core Eudicots;Mollugo verticillata	Core Eudicots
WQUF	WQUF;Core Eudicots;Nepenthes alata	Core Eudicots
JAFJ	JAFJ;Core Eudicots;Bougainvillea spectabilis	Core Eudicots
EGOS	EGOS;Core Eudicots;Allionia incarnata	Core Eudicots
DVXD	DVXD;Core Eudicots;Allionia incarnata	Core Eudicots
HMFE	HMFE;Core Eudicots;Allionia incarnata	Core Eudicots
GQAV	GQAV;Core Eudicots;Mirabilis jalapa	Core Eudicots
DZRA	DZRA;Core Eudicots;Mirabilis jalapa	Core Eudicots
JGAB	JGAB;Core Eudicots;Mirabilis jalapa	Core Eudicots
WHHY	WHHY;Core Eudicots;Boerhavia coccinea	Core Eudicots
MBWM	MBWM;Core Eudicots;Boerhavia coccinea	Core Eudicots
ZBTA	ZBTA;Core Eudicots;Boerhavia coccinea	Core Eudicots
HUGU	HUGU;Core Eudicots;Boerhavia dominii	Core Eudicots
GDYP	GDYP;Core Eudicots;Boerhavia dominii	Core Eudicots
VJPU	VJPU;Core Eudicots;Boerhavia dominii	Core Eudicots
RUUB	RUUB;Core Eudicots;Physena madagascariensis	Core Eudicots
AZBL	AZBL;Core Eudicots;Petiveria alliacea	Core Eudicots
BKQU	BKQU;Core Eudicots;Phytolacca americana	Core Eudicots
MRKX	MRKX;Core Eudicots;Phytolacca bogotensis	Core Eudicots
YNFJ	YNFJ;Core Eudicots;Microtea debilis	Core Eudicots
SFKQ	SFKQ;Core Eudicots;Hilleria latifolia	Core Eudicots
WOBD	WOBD;Core Eudicots;Limonium spectabile	Core Eudicots
CGGO	CGGO;Core Eudicots;Plumbago auriculata	Core Eudicots
FYSJ	FYSJ;Core Eudicots;Polygonum convolvulus	Core Eudicots
CZJT	CZJT;Core Eudicots;Portulaca oleracea	Core Eudicots
TRLB	TRLB;Core Eudicots;Portulaca oleracea	Core Eudicots
EZGR	EZGR;Core Eudicots;Portulaca oleracea	Core Eudicots
CPLT	CPLT;Core Eudicots;Portulaca grandiflora	Core Eudicots
UQCB	UQCB;Core Eudicots;Portulaca molokiniensis	Core Eudicots
IWIS	IWIS;Core Eudicots;Portulaca pilosa	Core Eudicots
GCYL	GCYL;Core Eudicots;Portulaca suffruticosa	Core Eudicots
KDCH	KDCH;Core Eudicots;Portulaca umbraticola	Core Eudicots
BYNZ	BYNZ;Core Eudicots;Portulaca umbraticola	Core Eudicots
BLWH	BLWH;Core Eudicots;Portulaca umbraticola	Core Eudicots
QMUN	QMUN;Core Eudicots;Portulaca amilis	Core Eudicots
LFQH	LFQH;Core Eudicots;Portulaca amilis	Core Eudicots
LDEL	LDEL;Core Eudicots;Portulaca amilis	Core Eudicots
VPCP	VPCP;Core Eudicots;Portulaca cryptopetala	Core Eudicots
TMMR	TMMR;Core Eudicots;Portulaca cryptopetala	Core Eudicots
LLQV	LLQV;Core Eudicots;Portulaca cryptopetala	Core Eudicots
LKKX	LKKX;Core Eudicots;Talinum sp.	Core Eudicots
GIWN	GIWN;Core Eudicots;Sarcobatus vermiculatus	Core Eudicots
CVDF	CVDF;Core Eudicots;Simmondsia chinensis	Core Eudicots
HTDC	HTDC;Core Eudicots;Tamarix chinensis	Core Eudicots
STKY	STKY;Core Eudicots;Balanophora fungosa	Core Eudicots
XKPS	XKPS;Core Eudicots;Ximenia americana	Core Eudicots
VGVI	VGVI;Core Eudicots;Dendropemon caribaeus	Core Eudicots
RSPO	RSPO;Core Eudicots;Santalum acuminatum	Core Eudicots
BSEY	BSEY;Core Eudicots;Daenikera sp.	Core Eudicots
XGFU	XGFU;Core Eudicots;Exocarpos cupressiformis	Core Eudicots
QKMG	QKMG;Core Eudicots;Phoradendron serotinum	Core Eudicots
YHXT	YHXT;Core Eudicots;Hamamelis virginiana	Core Eudicots
DMKC	DMKC;Core Eudicots;Hamamelis virginiana	Core Eudicots
YKQR	YKQR;Core Eudicots;Hamamelis virginiana	Core Eudicots
HQRJ	HQRJ;Core Eudicots;Loropetalum chinense	Core Eudicots
OMDH	OMDH;Core Eudicots;Loropetalum chinense	Core Eudicots
TQOO	TQOO;Core Eudicots;Loropetalum chinense	Core Eudicots
FWBF	FWBF;Core Eudicots/Asterids;Alangium chinense	Core Eudicots/Asterids
LMVB	LMVB;Core Eudicots;Liquidambar styraciflua	Core Eudicots
NUZN	NUZN;Core Eudicots;Cercidiphyllum japonicum	Core Eudicots
ZJUL	ZJUL;Core Eudicots;Rhodiola rosea	Core Eudicots
KWGC	KWGC;Core Eudicots;Crassula perforata	Core Eudicots
DRIL	DRIL;Core Eudicots;Kalanchoe crenato-diagremontiana	Core Eudicots
FYTP	FYTP;Core Eudicots;Daphniphyllum macropodum	Core Eudicots
SYHW	SYHW;Core Eudicots;Ribes aff. giraldii	Core Eudicots
IUSR	IUSR;Core Eudicots;Myriophyllum aquaticum	Core Eudicots
TOKV	TOKV;Core Eudicots;Aphanopetalum resinosum	Core Eudicots
UWFU	UWFU;Core Eudicots;Itea virginica	Core Eudicots
HTIP	HTIP;Core Eudicots;Paeonia lactiflora	Core Eudicots
FCBJ	FCBJ;Core Eudicots;Saxifraga stolonifera	Core Eudicots
ERIA	ERIA;Core Eudicots;Heuchera sanguinea	Core Eudicots
CIAC	CIAC;Core Eudicots;Bergenia sp.	Core Eudicots
UHBY	UHBY;Core Eudicots;Oresitrophe rupifraga	Core Eudicots
CKKR	CKKR;Core Eudicots;Astilbe chinensis	Core Eudicots
OOVX	OOVX;Core Eudicots;Boykinia jamesii	Core Eudicots
DAYQ	DAYQ;Core Eudicots;Mitella pentandra	Core Eudicots
YKFU	YKFU;Core Eudicots;Peltoboykinia watanabei	Core Eudicots
CTSS	CTSS;Core Eudicots;Tellima breviflora	Core Eudicots
SLOI	SLOI;Core Eudicots;Tiarella polyphylla	Core Eudicots
BGZG	BGZG;Core Eudicots/Rosids;Cissus quadrangularis	Core Eudicots/Rosids
SZPD	SZPD;Core Eudicots/Rosids;Tetrastigma voinierianum	Core Eudicots/Rosids
BBBA	BBBA;Core Eudicots/Rosids;Tetrastigma obtectum	Core Eudicots/Rosids
VYGG	VYGG;Core Eudicots/Rosids;Stachyurus praecox	Core Eudicots/Rosids
PTLU	PTLU;Core Eudicots/Rosids;Staphylea trifolia	Core Eudicots/Rosids
VKGP	VKGP;Core Eudicots/Rosids;Geranium carolinianum	Core Eudicots/Rosids
YGCX	YGCX;Core Eudicots/Rosids;Geranium maculatum	Core Eudicots/Rosids
HDWF	HDWF;Core Eudicots/Rosids;Francoa appendiculata	Core Eudicots/Rosids
FONV	FONV;Core Eudicots/Rosids;Greyia sutherlandii	Core Eudicots/Rosids
AJJE	AJJE;Core Eudicots/Rosids;Terminalia neotaliala	Core Eudicots/Rosids
NIJU	NIJU;Core Eudicots/Rosids;Heteropyxis natalensis	Core Eudicots/Rosids
RJNQ	RJNQ;Core Eudicots/Rosids;Lagerstroemia indica	Core Eudicots/Rosids
QEBC	QEBC;Core Eudicots/Rosids;Punica granatum	Core Eudicots/Rosids
JROW	JROW;Core Eudicots/Rosids;Punica granatum	Core Eudicots/Rosids
KAOV	KAOV;Core Eudicots/Rosids;Punica granatum	Core Eudicots/Rosids
VUGF	VUGF;Core Eudicots/Rosids;Punica granatum	Core Eudicots/Rosids
YMUO	YMUO;Core Eudicots/Rosids;Punica granatum	Core Eudicots/Rosids
YNUE	YNUE;Core Eudicots/Rosids;Punica granatum	Core Eudicots/Rosids
LHSH	LHSH;Core Eudicots/Rosids;Punica granatum	Core Eudicots/Rosids
WWQZ	WWQZ;Core Eudicots/Rosids;Medinilla magnifica	Core Eudicots/Rosids
SWGX	SWGX;Core Eudicots/Rosids;Tetrazygia bicolor	Core Eudicots/Rosids
FGDU	FGDU;Core Eudicots/Rosids;Syzygium paniculatum	Core Eudicots/Rosids
NEBM	NEBM;Core Eudicots/Rosids;Syzygium micranthum	Core Eudicots/Rosids
