Ambtr_v1.0.27 Amborella_trichopoda
XISJ Antirrhinum_majus
Arath_TAIR10 Arabidopsis_thaliana
BYNZ BLWH
Carpa_ASGPBv0.4 Carica_papaya
Chlre_v5.5 Chlamydomonas_reinhardtii
Chlva_v1.0 Chlorella_variabilis
Elagu_v2.0 Elaeis_guineensis
Eucgr_v1.1 Eucalyptus_grandis
RCAH GZSF
DVXD HMFE
Klefl_v1.0 Klebsormidium_flaccidum
HMHL LFVP
Manes_v4.1 Manihot_esculenta
Micpu_v3.0 Micromonas_pusilla
Musac_v1.0 Musa_acuminata
RHVC NDPQ
Nelnu_v1.0 Nelumbo_nucifera
Orysa_v7.0 Oryza_sativa
Phavu_v1.0 Phaseolus_vulgaris
Phypa_v3.0 Physcomitrella_patens
Pinta_v2.0 Pinus_taeda
UFHF PIYM
WRSL POIR
Poptr_v3.0 Populus_trichocarpa
Prupe_v1.0 Prunus_persica
VITX RWYZ
Solly_iTAGv2.3 Solanum_lycopersicum
Sorbi_v2.1 Sorghum_bicolor
Spipo_v2 Spirodela_polyrhiza
MULF SRGS
Theca_v1.1 Theobroma_cacao
HQRJ TQOO
Vitvi_Genoscope.12X Vitis_vinifera
Volca_v2.0 Volvox_carteri
ROLB WBXY
QFND WLZP
AOUJ XOZZ
XXHP XWDM
RPGL YLBK
LBRP ZLBP
GYFU ZRAV
