Amborella_trichopoda Ambtr_v1.0.27
Antirrhinum_majus XISJ
Arabidopsis_thaliana Arath_TAIR10
BLWH BYNZ
Carica_papaya Carpa_ASGPBv0.4
Chlamydomonas_reinhardtii Chlre_v5.5
Chlorella_variabilis Chlva_v1.0
Elaeis_guineensis Elagu_v2.0
Eucalyptus_grandis Eucgr_v1.1
GZSF RCAH
HMFE DVXD
Klebsormidium_flaccidum Klefl_v1.0
LFVP HMHL
Manihot_esculenta Manes_v4.1
Micromonas_pusilla Micpu_v3.0
Musa_acuminata Musac_v1.0
NDPQ RHVC
Nelumbo_nucifera Nelnu_v1.0
Oryza_sativa Orysa_v7.0
Phaseolus_vulgaris Phavu_v1.0
Physcomitrella_patens Phypa_v3.0
Pinus_taeda Pinta_v2.0
PIYM UFHF
POIR WRSL
Populus_trichocarpa Poptr_v3.0
Prunus_persica Prupe_v1.0
RWYZ VITX
Solanum_lycopersicum Solly_iTAGv2.3
Sorghum_bicolor Sorbi_v2.1
Spirodela_polyrhiza Spipo_v2
SRGS MULF
Theobroma_cacao Theca_v1.1
TQOO HQRJ
Vitis_vinifera Vitvi_Genoscope.12X
Volvox_carteri Volca_v2.0
WBXY ROLB
WLZP QFND
XOZZ AOUJ
XWDM XXHP
YLBK RPGL
ZLBP LBRP
ZRAV GYFU
