"","ID","Zings+Poales","Palms+Poales","Palms+Zings","Asterids+Santalales+Caryophyllales","Asterids+Caryophyllales","Eudicots - Gunnera/Berberidopsidales","Vitales+Santalales","Asterids+Dillenia+Caryophyllales","Dillenia+Caryophyllales","Eudicots - Gunnera/Dillenia","Asterids+Berberidopsidales+Caryophyllales","Asterids+Berberidopsidales","Saxifragales+CoreRosids+Vitales+Santalales","Saxifragales+CoreRosids+Vitales","Saxifragales+CoreRosids","Gunnera+Dillenia","Bryopsidales+Trent/Clado","Bryopsidales+OtherUlvophyceae+Trent/Clado","Chlorophyceae+Bryopsidales+OtherUlvophyceae+Trent/Clado","OtherUlvophyceae+Trent/Clado","Chlorophyceae+Bryopsidales","LandPlants+Coleochaetales+Chara","LandPlants+Chara","Spirotaenia sp+Zygnemophyceae+LandPlants+Coleochaetales","Spirotaenia sp+Zygnemophyceae+LandPlants","Spirotaenia sp+Zygnemophyceae","Marattiales+Polypodiidae","Ophio. + Psilotales+Marattiales+Polypodiidae","Ophio. + Psilotales+Marattiales","Chloro+Prasinococcales","Strept+Chloro","Strept+Prasinococcales","OtherPrasinococcales+Prasinococcus capsulatus","Other Angios+Amborella","Waterlilies+Amborella","Waterlilies+Other Angios","Pinaceae+Other Pinales","Gnetales+Pinaceae","Mosses/Liverworts+Vascs","Hornworts+Mosses/Liverworts","Green Plants+Glaucophyta+Red Algae","Green Plants+Glaucophyta"
"1","ASTRAL-33%-FAA","Compatible (Weak Rejection)","Compatible (Weak Rejection)","Weak Support","Compatible (Weak Rejection)","Compatible (Weak Rejection)","Compatible (Weak Rejection)","Compatible (Weak Rejection)","Compatible (Weak Rejection)","Compatible (Weak Rejection)","Weak Support","Weak Support","Weak Support","Weak Support","Weak Support","Weak Support","Weak Support","Strong Rejection","Compatible (Weak Rejection)","Strong Support","Strong Support","Weak Support","Strong Rejection","Strong Rejection","Strong Support","Weak Support","Weak Support","Compatible (Weak Rejection)","Strong Support","Weak Support","Compatible (Weak Rejection)","Compatible (Weak Rejection)","Weak Support","Strong Support","Strong Rejection","Strong Rejection","Strong Support","Strong Support","Strong Rejection","Strong Rejection","Strong Support","Strong Support","Strong Support"
"2","ASTRAL-20%-FAA","Strong Rejection","Strong Rejection","Strong Support","Compatible (Weak Rejection)","Weak Support","Compatible (Weak Rejection)","Weak Support","Compatible (Weak Rejection)","Compatible (Weak Rejection)","Compatible (Weak Rejection)","Compatible (Weak Rejection)","Compatible (Weak Rejection)","Weak Support","Compatible (Weak Rejection)","Strong Support","Compatible (Weak Rejection)","Strong Rejection","Weak Support","Strong Support","Strong Support","Compatible (Weak Rejection)","Strong Rejection","Strong Rejection","Strong Support","Weak Support","Strong Support","Compatible (Weak Rejection)","Strong Support","Weak Support","Compatible (Weak Rejection)","Compatible (Weak Rejection)","Weak Support","Strong Support","Strong Rejection","Strong Rejection","Strong Support","Strong Support","Strong Rejection","Strong Rejection","Strong Support","Strong Support","Strong Support"
"3","ASTRAL-10%-FAA","Strong Rejection","Strong Rejection","Strong Support","Strong Rejection","Strong Rejection","Strong Rejection","Strong Support","Strong Rejection","Compatible (Weak Rejection)","Weak Support","Weak Support","Strong Support","Strong Support","Strong Rejection","Strong Support","Weak Support","Compatible (Weak Rejection)","Weak Support","Strong Support","Compatible (Weak Rejection)","Compatible (Weak Rejection)","Strong Rejection","Strong Rejection","Strong Support","Weak Support","Strong Support","Strong Support","Strong Support","Strong Rejection","Compatible (Weak Rejection)","Compatible (Weak Rejection)","Weak Support","Strong Support","Strong Rejection","Strong Rejection","Strong Support","Strong Support","Strong Rejection","Strong Rejection","Strong Support","Strong Support","Strong Support"
"4","ASTRAL-05%-FAA","Strong Rejection","Strong Rejection","Strong Support","Strong Rejection","Compatible (Weak Rejection)","Weak Support","Strong Support","Compatible (Weak Rejection)","Weak Support","Compatible (Weak Rejection)","Compatible (Weak Rejection)","Compatible (Weak Rejection)","Weak Support","Strong Rejection","Strong Support","Compatible (Weak Rejection)","Compatible (Weak Rejection)","Weak Support","Strong Support","Compatible (Weak Rejection)","Compatible (Weak Rejection)","Strong Rejection","Strong Rejection","Strong Support","Weak Support","Strong Support","Strong Support","Strong Support","Strong Rejection","Compatible (Weak Rejection)","Compatible (Weak Rejection)","Compatible (Weak Rejection)","Compatible (Weak Rejection)","Strong Rejection","Strong Rejection","Strong Support","Strong Support","Strong Rejection","Strong Rejection","Strong Support","Strong Support","Strong Support"
"5","ASTRAL-full-FAA","Strong Rejection","Strong Rejection","Strong Support","Strong Rejection","Strong Rejection","Weak Support","Compatible (Weak Rejection)","Strong Rejection","Strong Rejection","Compatible (Weak Rejection)","Strong Rejection","Compatible (Weak Rejection)","Strong Rejection","Strong Rejection","Compatible (Weak Rejection)","Compatible (Weak Rejection)","Compatible (Weak Rejection)","Compatible (Weak Rejection)","Strong Support","Compatible (Weak Rejection)","Weak Support","Strong Rejection","Strong Rejection","Strong Support","Strong Support","Strong Support","Strong Support","Strong Support","Strong Rejection","Compatible (Weak Rejection)","Compatible (Weak Rejection)","Compatible (Weak Rejection)","Compatible (Weak Rejection)","Strong Rejection","Strong Rejection","Strong Support","Strong Support","Strong Rejection","Strong Rejection","Strong Support","Strong Support","Strong Support"
"6","ASTRAL-binning-FAA","Weak Support","Compatible (Weak Rejection)","Compatible (Weak Rejection)","Strong Rejection","Strong Rejection","Weak Support","Compatible (Weak Rejection)","Strong Rejection","Strong Rejection","Strong Rejection","Strong Rejection","Compatible (Weak Rejection)","Strong Rejection","Strong Rejection","Strong Rejection","Strong Rejection","Compatible (Weak Rejection)","Compatible (Weak Rejection)","Strong Support","Compatible (Weak Rejection)","Weak Support","Strong Rejection","Strong Rejection","Strong Support","Weak Support","Weak Support","Strong Support","Strong Support","Strong Rejection","Weak Support","Compatible (Weak Rejection)","Compatible (Weak Rejection)","Strong Support","Strong Rejection","Strong Rejection","Strong Support","Strong Support","Strong Rejection","Compatible (Weak Rejection)","Weak Support","Weak Support","Strong Support"
"7","CAML-FAA","Strong Support","Strong Rejection","Strong Rejection","Strong Rejection","Strong Rejection","Weak Support","Weak Support","Weak Support","Strong Support","Strong Rejection","Strong Rejection","Compatible (Weak Rejection)","Strong Support","Compatible (Weak Rejection)","Strong Support","Strong Rejection","Strong Support","Strong Support","Strong Support","Strong Rejection","Strong Rejection","Strong Rejection","Strong Rejection","Strong Support","Strong Support","Strong Support","Strong Support","Strong Support","Strong Rejection","Strong Rejection","Strong Support","Strong Rejection","Strong Support","Strong Rejection","Strong Rejection","Strong Support","Strong Rejection","Strong Support","Strong Support","Strong Rejection","Strong Support","Strong Support"
"8","ASTRAL-full-C12","Compatible (Weak Rejection)","Compatible (Weak Rejection)","Weak Support","Strong Rejection","Strong Rejection","Strong Support","Strong Rejection","Strong Rejection","Strong Rejection","Strong Rejection","Strong Rejection","Strong Rejection","Strong Rejection","Compatible (Weak Rejection)","Compatible (Weak Rejection)","Strong Rejection","Strong Rejection","Strong Rejection","Weak Support","Strong Rejection","Weak Support","Strong Rejection","Strong Rejection","Strong Support","Strong Support","Strong Rejection","Compatible (Weak Rejection)","Strong Support","Weak Support","Strong Rejection","Strong Rejection","Compatible (Weak Rejection)","Strong Rejection","Strong Rejection","Strong Rejection","Strong Support","Strong Rejection","Strong Support","Weak Support","Compatible (Weak Rejection)","Weak Support","Strong Support"
"9","ASTRAL-binning-C12","Compatible (Weak Rejection)","Compatible (Weak Rejection)","Weak Support","Strong Rejection","Strong Rejection","Strong Support","Strong Rejection","Strong Rejection","Strong Rejection","Strong Rejection","Strong Rejection","Strong Rejection","Strong Rejection","Compatible (Weak Rejection)","Compatible (Weak Rejection)","Strong Rejection","Strong Rejection","Strong Rejection","Weak Support","Strong Rejection","Weak Support","Strong Rejection","Strong Rejection","Strong Support","Strong Support","Strong Rejection","Compatible (Weak Rejection)","Strong Support","Weak Support","Strong Rejection","Strong Rejection","Compatible (Weak Rejection)","Strong Rejection","Strong Rejection","Strong Rejection","Strong Support","Strong Rejection","Strong Support","Weak Support","Compatible (Weak Rejection)","Weak Support","Strong Support"
"10","CAML-C12","Strong Support","Strong Rejection","Strong Rejection","Strong Rejection","Strong Rejection","Weak Support","Weak Support","Weak Support","Strong Support","Strong Rejection","Strong Rejection","Compatible (Weak Rejection)","Strong Support","Compatible (Weak Rejection)","Strong Support","Strong Rejection","Strong Support","Strong Support","Strong Support","Strong Rejection","Strong Rejection","Strong Rejection","Strong Rejection","Strong Support","Strong Support","Strong Support","Strong Support","Strong Support","Strong Rejection","Strong Rejection","Strong Support","Strong Rejection","Strong Support","Strong Rejection","Strong Rejection","Strong Support","Strong Rejection","Strong Support","Strong Support","Strong Rejection","Strong Support","Strong Support"
